Date,COT_Open_Interest,COT_NonComm_Long,COT_NonComm_Short,COT_NetSpec
2017-11-07,731832,275021,73669,201352
2017-11-14,740799,277018,74549,202469
2017-11-21,735317,274718,68971,205747
2017-11-28,667490,294975,59766,235209
2017-12-05,642172,254655,74588,180067
2017-12-12,633192,196653,90067,106586
2017-12-19,629799,193343,76845,116498
2017-12-26,622956,204260,65367,138893
2018-01-02,691269,246679,74658,172021
2018-01-09,747536,292883,80822,212061
2018-01-16,813562,307693,83388,224305
2018-01-23,820887,309695,79888,229807
2018-01-30,777810,308903,83116,225787
2018-02-06,760071,285575,77404,208171
2018-02-13,746321,264687,72237,192450
2018-02-20,774163,269719,62493,207226
2018-02-27,726602,255633,72111,183522
2018-03-06,723005,255216,61879,193337
2018-03-13,732155,238550,63987,174563
2018-03-20,755377,223456,70140,153316
2018-03-27,740664,267781,55903,211878
2018-04-03,702091,241458,68277,173181
2018-04-10,725402,245285,81058,164227
2018-04-17,745971,249337,75420,173917
2018-04-24,731775,229195,87282,141913
2018-05-01,715229,203301,99934,103367
2018-05-08,699566,191839,88299,103540
2018-05-15,740326,182272,101695,80577
2018-05-22,730741,167912,90502,77410
2018-05-29,670827,189253,76499,112754
2018-06-05,648436,180812,73567,107245
2018-06-12,651671,185374,69914,115460
2018-06-19,691070,181231,97481,83750
2018-06-26,664598,181874,116883,64991
2018-07-03,714279,195827,129508,66319
2018-07-10,719736,197589,128533,69056
2018-07-17,768264,193798,154907,38891
2018-07-24,751269,197879,165548,32331
2018-07-31,661303,191548,174615,16933
2018-08-07,684599,187470,194465,-6995
2018-08-14,741105,190922,216271,-25349
2018-08-21,772428,192353,216317,-23964
2018-08-28,719898,194185,211137,-16952
2018-09-04,717213,178426,212682,-34256
2018-09-11,713486,176273,204790,-28517
2018-09-18,717124,177441,206360,-28919
2018-09-25,678450,177071,209835,-32764
2018-10-02,690249,178735,213936,-35201
2018-10-09,705337,158844,215842,-56998
2018-10-16,739876,183927,168968,14959
2018-10-23,758944,187549,159145,28404
2018-10-30,720853,162336,156360,5976
2018-11-06,746222,163124,150914,12210
2018-11-13,786537,152829,175760,-22931
2018-11-20,781916,160162,155544,4618
2018-11-27,629993,153169,155689,-2520
2018-12-04,602198,173697,120977,52720
2018-12-11,616571,171352,102651,68701
2018-12-18,649633,187680,100183,87497
2018-12-24,716336,218002,86647,131355
2018-12-31,705063,226143,81238,144905
2019-01-08,706555,211813,90522,121291
2019-01-15,758539,215794,102817,112977
2019-01-22,767712,198900,101961,96939
2019-01-29,731659,230729,106540,124189
2019-02-05,742347,233655,102889,130766
2019-02-12,735815,228856,102304,126552
2019-02-19,826311,270316,99688,170628
2019-02-26,742474,255148,94213,160935
2019-03-05,699480,203709,106313,97396
2019-03-12,773326,215315,116463,98852
2019-03-19,774937,217719,105592,112127
2019-03-26,744171,226844,89719,137125
2019-04-02,658649,194833,95862,98971
2019-04-09,677719,206809,89464,117345
2019-04-16,674009,177281,121565,55716
2019-04-23,673157,166966,130944,36022
2019-04-30,637690,177741,107592,70149
2019-05-07,665348,186303,108157,78146
2019-05-14,740685,228224,99775,128449
2019-05-21,724237,191767,112079,79688
2019-05-28,669686,194997,109463,85534
2019-06-04,720079,252842,77176,175666
2019-06-11,764776,260843,54903,205940
2019-06-18,858867,291475,55943,235532
2019-06-25,1014917,338456,59492,278964
2019-07-02,1031393,344370,49547,294823
2019-07-09,1010098,330682,56127,274555
2019-07-16,1038695,338248,58974,279274
2019-07-23,1088147,338099,58268,279831
2019-07-30,964960,347815,54968,292847
2019-08-06,1112432,402556,55933,346623
2019-08-13,1183351,396224,51957,344267
2019-08-20,1189816,398983,49336,349647
2019-08-27,1215303,415245,53872,361373
2019-09-03,1217186,414616,49918,364698
2019-09-10,1125346,361265,51491,309774
2019-09-17,1177110,373773,45464,328309
2019-09-24,1247777,404388,46423,357965
2019-10-01,1050013,347010,45509,301501
2019-10-08,1078067,364413,47494,316919
2019-10-15,1058248,341008,57789,283219
2019-10-22,1064778,345675,55143,290532
2019-10-29,1034568,358854,56439,302415
2019-11-05,1071020,363564,61883,301681
2019-11-12,1087776,327426,60236,267190
2019-11-19,1105336,348365,49178,299187
2019-11-26,926134,326130,55994,270136
2019-12-03,983549,353144,56057,297087
2019-12-10,964413,327223,58277,268946
2019-12-17,1003799,346765,55239,291526
2019-12-24,1072332,376789,54656,322133
2019-12-31,1099823,404435,53347,351088
2020-01-07,1197110,418349,60853,357496
2020-01-14,1170516,399791,57702,342089
2020-01-21,1189723,400893,57947,342946
2020-01-28,1068985,404290,49922,354368
2020-02-04,1002910,370971,59564,311407
2020-02-11,1013330,377807,50440,327367
2020-02-18,1140854,443404,54601,388803
2020-02-25,1222538,437286,50894,386392
2020-03-03,1226461,411491,43173,368318
2020-03-10,1236887,377884,34302,343582
2020-03-17,1161072,314830,38517,276313
2020-03-24,1254370,338965,26203,312762
2020-03-31,992626,300142,31730,268412
2020-04-07,1053747,308039,32377,275662
2020-04-14,1142624,324629,34566,290063
2020-04-21,1067082,308178,31422,276756
2020-04-28,1023747,314091,28026,286065
2020-05-05,1009319,303829,28258,275571
2020-05-12,1013123,306235,37321,268914
2020-05-19,1086271,328535,44994,283541
2020-05-26,903115,306857,53213,253644
2020-06-02,874543,293337,56040,237297
2020-06-09,875907,284766,59413,225353
2020-06-16,910794,299684,57187,242497
2020-06-23,1004682,335264,59738,275526
2020-06-30,990185,355678,65306,290372
2020-07-07,1008422,366449,73204,293245
2020-07-14,1016765,358149,69220,288929
2020-07-21,1076205,365334,66619,298715
2020-07-28,1127029,351980,74380,277600
2020-08-04,1135911,360749,76066,284683
2020-08-11,1091080,334415,74696,259719
2020-08-18,1125064,332467,67399,265068
2020-08-25,1077350,315720,65623,250097
2020-09-01,1031272,326208,65489,260719
2020-09-08,1018960,329872,65683,264189
2020-09-15,1052825,343484,70105,273379
2020-09-22,1027946,316182,74339,241843
2020-09-29,911902,318439,74262,244177
2020-10-06,908492,323385,72994,250391
2020-10-13,905764,323584,85353,238231
2020-10-20,936622,335320,84464,250856
2020-10-27,886856,326472,80116,246356
2020-11-03,882150,321154,81056,240098
2020-11-10,873170,309798,79608,230190
2020-11-17,875225,318920,78123,240797
2020-11-24,751804,301253,80042,221211
2020-12-01,746427,307994,67508,240486
2020-12-01,32377,15096,13979,1117
2020-12-08,778040,326610,72333,254277
2020-12-15,773839,327152,72863,254289
2020-12-21,799618,338437,76115,262322
2020-12-29,747305,341623,77288,264335
2020-12-29,34210,15798,22384,-6586
2021-01-05,810238,358500,77829,280671
2021-01-12,754574,312665,73608,239057
2021-01-19,735630,305270,64899,240371
2021-01-26,700842,311942,60623,251319
2021-02-02,695241,308430,61591,246839
2021-02-09,689620,303811,62702,241109
2021-02-16,686558,292235,72266,219969
2021-02-23,632438,288037,71192,216845
2021-03-02,645514,259021,77096,181925
2021-03-09,676057,247600,80436,167164
2021-03-16,676965,251664,76613,175051
2021-03-23,684841,256838,88597,168241
2021-03-30,638136,256060,98499,157561
2021-04-06,633809,276945,89222,187723
2021-04-13,630094,269947,90112,179835
2021-04-20,657138,279947,95778,184169
2021-04-27,635455,275176,101690,173486
2021-05-04,638934,274993,100318,174675
2021-05-11,704587,292027,88096,203931
2021-05-18,751663,301372,86970,214402
2021-05-18,33854,10031,12915,-2884
2021-05-25,699958,306983,74028,232955
2021-06-01,683388,308131,73089,235042
2021-06-08,679113,309317,77218,232099
2021-06-15,661687,291112,80341,210771
2021-06-22,634981,256195,85028,171167
2021-06-29,608002,259729,92042,167687
2021-07-06,625552,281655,89604,192051
2021-07-13,659997,287452,85797,201655
2021-07-20,659539,289396,80169,209227
2021-07-27,636396,282356,76656,205700
2021-08-03,628660,282902,78576,204326
2021-08-10,628177,276009,106355,169654
2021-08-17,32480,14107,8528,5579
2021-08-17,637788,292807,93427,199380
2021-08-24,658332,311348,90842,220506
2021-08-31,639860,325583,96608,228975
2021-09-07,34633,8491,9756,-1265
2021-09-07,636604,317677,101384,216293
2021-09-14,634212,319790,100886,218904
2021-09-21,623506,304600,109615,194985
2021-09-28,608409,299923,127208,172715
2021-10-05,610483,304848,115023,189825
2021-10-12,614277,306373,115050,191323
2021-10-19,616916,307708,108262,199446
2021-10-26,673722,328118,102675,225443
2021-11-02,673396,323962,98365,225597
2021-11-09,775386,362359,93919,268440
2021-11-16,837139,383211,99795,283416
2021-11-16,27699,7826,12734,-4908
2021-11-23,711387,339458,93116,246342
2021-11-23,32929,8426,19122,-10696
2021-11-30,685404,321265,86386,234879
2021-12-07,655042,312428,86085,226343
2021-12-14,653715,309950,98647,211303
2021-12-21,651027,310040,93538,216502
2021-12-28,650426,320306,92399,227907
2022-01-04,650245,312978,85778,227200
2022-01-11,699412,305412,89842,215570
2022-01-18,696202,305421,94480,210941
2022-01-25,723419,333483,87701,245782
2022-02-01,637298,291983,102221,189762
2022-02-08,647101,301253,90379,210874
2022-02-15,717041,335472,92710,242762
2022-02-22,808830,376435,94862,281573
2022-03-01,815986,379815,89109,290706
2022-03-08,921117,403514,82289,321225
2022-03-15,35921,9110,15276,-6166
2022-03-15,849700,373239,76567,296672
2022-03-22,35952,10034,15826,-5792
2022-03-22,823034,350553,69352,281201
2022-03-29,762707,348923,70969,277954
2022-04-05,745645,346004,80271,265733
2022-04-05,27111,9206,10996,-1790
2022-04-12,795447,367710,83365,284345
2022-04-19,776562,356575,90027,266548
2022-04-26,32262,8332,16484,-8152
2022-04-26,728774,328977,92663,236314
2022-05-03,30453,6543,17174,-10631
2022-05-03,731812,307105,95830,211275
2022-05-10,30320,6657,18590,-11933
2022-05-10,741917,296031,97616,198415
2022-05-17,727353,286953,108588,178365
2022-05-17,30753,6441,18366,-11925
2022-05-24,717726,293447,97525,195922
2022-05-31,641087,281667,100484,181183
2022-06-07,622353,282854,98894,183960
2022-06-14,643209,277333,113712,163621
2022-06-21,639784,280420,105794,174626
2022-06-28,622359,278841,113751,165090
2022-07-05,641642,272216,125800,146416
2022-07-12,694137,252403,135552,116851
2022-07-19,677492,239928,147427,92501
2022-07-26,622683,245561,154136,91425
2022-08-02,613727,250210,121923,128287
2022-08-09,612376,250942,102308,148634
2022-08-16,598603,245125,101089,144036
2022-08-23,598932,242188,114585,127603
2022-08-30,581386,239565,121514,118051
2022-09-06,594783,233016,131444,101572
2022-09-13,593418,227701,133152,94549
2022-09-20,618780,215679,154893,60786
2022-09-27,36658,14270,11089,3181
2022-09-27,584868,202890,156917,45973
2022-10-04,588463,220035,129614,90421
2022-10-11,574421,211710,120340,91370
2022-10-18,582348,204659,135314,69345
2022-10-25,606961,204646,145304,59342
2022-11-01,599297,211438,153807,57631
2022-11-08,645338,227232,142290,84942
2022-11-15,684124,240433,101404,139029
2022-11-15,28826,14438,12038,2400
2022-11-22,570841,225322,100844,124478
2022-11-29,559524,221036,101593,119443
2022-12-06,566225,224486,99696,124790
2022-12-13,606562,241169,100755,140414
2022-12-20,606785,242015,99558,142457
2022-12-27,579634,244787,91648,153139
2023-01-03,606863,248177,88141,160036
2023-01-10,664014,261444,88837,172607
2023-01-17,705668,265514,88721,176793
2023-01-24,31036,12151,4275,7876
2023-01-24,733468,276140,92279,183861
2023-01-31,661942,278607,89074,189533
2023-02-07,620608,239218,91184,148034
2023-02-14,605576,224854,99628,125226
2023-02-21,599637,222312,100512,121800
2023-02-28,575384,217124,104081,113043
2023-03-07,615245,219469,121338,98131
2023-03-14,676591,247133,92579,154554
2023-03-21,25449,7787,7991,-204
2023-03-21,718931,253738,79356,174382
2023-03-28,711739,269277,69244,200033
2023-04-04,748112,292719,72676,220043
2023-04-11,736307,283793,67385,216408
2023-04-18,748698,284442,69290,215152
2023-04-25,704204,274670,64846,209824
2023-04-25,23780,5534,4775,759
2023-05-02,744202,289971,64808,225163
2023-05-02,24422,6916,4336,2580
2023-05-09,794166,292966,67429,225537
2023-05-16,769191,273887,68621,205266
2023-05-23,722490,250863,68158,182705
2023-05-30,639126,242793,70074,172719
2023-06-06,625245,243769,64965,178804
2023-06-13,618147,229264,68351,160913
2023-06-20,621664,231792,68660,163132
2023-06-27,590757,222583,68986,153597
2023-07-03,609673,237916,72719,165197
2023-07-11,656397,244076,75455,168621
2023-07-18,676043,272528,72217,200311
2023-07-25,659555,253403,73571,179832
2023-08-01,596100,244060,74767,169293
2023-08-08,583740,229579,84857,144722
2023-08-15,594756,230043,110241,119802
2023-08-22,600009,220749,122001,98748
2023-08-29,597241,242873,115945,126928
2023-08-29,30968,12366,14722,-2356
2023-09-05,586886,239516,99618,139898
2023-09-12,585976,235884,112955,122929
2023-09-12,31729,12205,15872,-3667
2023-09-19,28783,9576,11304,-1728
2023-09-19,596410,238942,102190,136752
2023-09-26,573822,232836,120311,112525
2023-10-03,31905,7763,17533,-9770
2023-10-03,607491,209964,134697,75267
2023-10-10,623216,206202,145727,60475
2023-10-10,32110,9537,17349,-7812
2023-10-17,30092,10698,11706,-1008
2023-10-17,672669,225166,115081,110085
2023-10-24,740610,255354,102133,153221
2023-10-24,30053,11478,9515,1963
2023-10-31,728673,269771,98347,171424
2023-10-31,31029,10367,10003,364
2023-11-07,31712,10788,10407,381
2023-11-07,720170,265469,92905,172564
2023-11-14,722583,258144,96593,161551
2023-11-14,33105,10047,11673,-1626
2023-11-21,763981,279754,96401,183353
2023-11-21,34135,13575,11192,2383
2023-11-28,718454,306305,94738,211567
2023-11-28,40403,20019,7523,12496
2023-12-05,30499,14777,12866,1911
2023-12-05,702028,300340,89618,210722
2023-12-12,659677,274293,85382,188911
2023-12-19,32155,14197,14953,-756
2023-12-19,702177,292797,83902,208895
2023-12-26,685284,304680,86874,217806
2024-01-02,700881,303949,85859,218090
2024-01-09,36390,16739,18949,-2210
2024-01-09,665286,276659,85518,191141
2024-01-16,38554,15425,18285,-2860
2024-01-16,668529,266752,84504,182248
2024-01-23,642602,244663,72260,172403
2024-01-23,39266,16333,18001,-1668
2024-01-30,580408,226288,74839,151449
2024-02-06,575677,233270,68838,164432
2024-02-13,576184,216251,87000,129251
2024-02-13,30728,10934,12905,-1971
2024-02-20,567260,213664,71117,142547
2024-02-27,551918,219282,75395,143887
2024-03-05,706068,281810,73558,208252
2024-03-05,30034,10590,6213,4377
2024-03-12,37922,12077,7465,4612
2024-03-12,776137,294594,72055,222539
2024-03-19,789118,286999,68712,218287
2024-03-19,39193,13100,8647,4453
2024-03-26,723391,280381,62015,218366
2024-04-02,797856,306170,69596,236574
2024-04-02,36160,20053,9098,10955
2024-04-09,865833,307527,73023,234504
2024-04-09,40163,20956,9477,11479
2024-04-16,39844,18946,9275,9671
2024-04-16,924186,297722,66138,231584
2024-04-23,898041,293050,64150,228900
2024-04-30,37605,13836,13754,82
2024-04-30,841013,287009,56478,230531
2024-05-07,861373,283164,57044,226120
2024-05-14,40647,16700,12611,4089
2024-05-14,875249,296004,63254,232750
2024-05-21,41498,17237,12953,4284
2024-05-21,931382,316204,58835,257369
2024-05-28,40483,15189,13941,1248
2024-05-28,773824,298645,51780,246865
2024-06-04,736514,290723,46716,244007
2024-06-11,32530,12976,11190,1786
2024-06-11,729754,277850,41684,236166
2024-06-18,743289,290952,40978,249974
2024-06-18,31599,13380,10521,2859
2024-06-25,30388,9714,9850,-136
2024-06-25,711234,288348,41806,246542
2024-07-02,719261,283399,41890,241509
2024-07-02,30987,10071,10489,-418
2024-07-09,38695,11349,10948,401
2024-07-09,799427,303267,48031,255236
2024-07-16,953024,346202,57684,288518
2024-07-16,43815,15422,8582,6840
2024-07-23,43876,14419,10267,4152
2024-07-23,908046,326370,57804,268566
2024-07-30,815816,309068,57181,251887
2024-08-06,796080,290363,50179,240184
2024-08-13,38084,15867,6291,9576
2024-08-13,865820,327369,52148,275221
2024-08-20,44193,18993,9564,9429
2024-08-20,926026,356118,56334,299784
2024-08-27,840626,348663,53806,294857
2024-08-27,43331,17971,9386,8585
2024-09-03,44615,17923,10570,7353
2024-09-03,808325,339608,56535,283073
2024-09-10,44739,17833,8061,9772
2024-09-10,827014,342388,61761,280627
2024-09-17,902570,374820,67056,307764
2024-09-17,47805,20190,8733,11457
2024-09-24,994199,386538,72599,313939
2024-09-24,49975,22990,6708,16282
2024-10-01,915249,365838,65139,300699
2024-10-01,47254,17097,9565,7532
2024-10-08,45606,14813,11781,3032
2024-10-08,875966,343554,66790,276764
2024-10-15,904588,353931,68392,285539
2024-10-15,46625,15860,12655,3205
2024-10-22,50372,20199,11653,8546
2024-10-22,983079,359274,64097,295177
2024-10-29,945200,361432,70484,290948
2024-10-29,50796,19626,11534,8092
2024-11-05,926213,333578,66439,267139
2024-11-05,53128,19633,15255,4378
2024-11-12,871454,309359,67091,242268
2024-11-12,56304,19240,17560,1680
2024-11-19,54141,18002,18228,-226
2024-11-19,850790,302352,60334,242018
2024-11-26,48475,14895,16926,-2031
2024-11-26,711924,302610,55689,246921
2024-12-03,28605,7718,11396,-3678
2024-12-03,709609,307808,49573,258235
2024-12-10,28652,8312,9286,-974
2024-12-10,758752,327830,50400,277430
2024-12-17,34641,9683,14505,-4822
2024-12-17,715934,301635,40426,261209
2024-12-24,33481,6063,15586,-9523
2024-12-24,691049,284040,40659,243381
2024-12-31,32113,5724,14036,-8312
2024-12-31,658591,283560,37998,245562
2025-01-07,690485,295827,41496,254331
2025-01-14,33515,7530,11047,-3517
2025-01-14,756977,314574,36310,278264
2025-01-21,845135,340746,37539,303207
2025-01-21,37378,9403,11167,-1764
2025-01-28,805253,346742,40588,306154
2025-01-28,37918,8622,7991,631
2025-02-04,837198,365025,54869,310156
2025-02-11,867510,351041,57409,293632
2025-02-11,32180,12063,9033,3030
2025-02-18,871137,334244,59469,274775
2025-02-18,33617,11648,9392,2256
2025-02-25,773047,324930,57488,267442
2025-02-25,34519,10721,13841,-3120
2025-03-04,31421,9307,14980,-5673
2025-03-04,756299,311969,62968,249001
2025-03-11,31986,10612,16132,-5520
2025-03-11,779270,303640,61608,242032
2025-03-18,36003,12560,11242,1318
2025-03-18,870033,335342,66773,268569
2025-03-25,38234,11573,16120,-4547
2025-03-25,826602,324724,66139,258585
2025-04-01,38127,15070,10399,4671
2025-04-01,851437,324333,73451,250882
2025-04-08,775736,269017,65915,203102
2025-04-08,37906,12957,15825,-2868
2025-04-15,884929,282937,66537,216400
2025-04-15,38960,17217,15588,1629
2025-04-22,978932,263736,68467,195269
2025-04-22,46206,22330,18364,3966
2025-04-29,862598,249339,67460,181879
2025-04-29,43876,20192,20645,-453
2025-05-06,46325,19270,19732,-462
2025-05-06,902795,243775,62661,181114
2025-05-13,42756,15734,21730,-5996
2025-05-13,832416,239259,63239,176020
2025-05-20,861067,237118,57178,179940
2025-05-20,49010,19872,25586,-5714
2025-05-27,49066,17179,26419,-9240
2025-05-27,716227,233466,56404,177062
2025-06-03,39100,10373,14011,-3638
2025-06-03,710687,246981,55548,191433
2025-06-10,43755,13111,21996,-8885
2025-06-10,697081,245007,54825,190182
2025-06-17,45009,12181,25438,-13257
2025-06-17,742394,257540,56897,200643
2025-06-24,46434,10349,25256,-14907
2025-06-24,698970,246867,58320,188547
2025-07-01,668770,248372,55013,193359
2025-07-01,45322,13918,20762,-6844
2025-07-08,48340,11102,25356,-14254
2025-07-08,666313,249192,55553,193639
2025-07-15,52643,15942,27299,-11357
2025-07-15,678633,258374,54618,203756
2025-07-22,758541,304056,58776,245280
2025-07-22,53017,20795,18165,2630
2025-07-29,648414,272933,55745,217188
2025-07-29,53672,11007,28757,-17750
2025-08-05,45266,12712,14765,-2053
2025-08-05,670740,283496,53279,230217
2025-08-12,663454,278472,57929,220543
2025-08-12,44835,7798,15013,-7215
2025-08-19,644005,261955,60085,201870
2025-08-19,51260,10242,22795,-12553
2025-08-26,49280,10064,16669,-6605
2025-08-26,633282,268942,59212,209730
2025-09-02,61910,27052,15293,11759
2025-09-02,764782,310958,66526,244432
2025-09-09,57482,20560,14968,5592
2025-09-09,817108,315939,60588,255351
2025-09-16,835822,312973,56894,256079
2025-09-16,55922,16682,14285,2397
2025-09-23,898447,319773,60512,259261
2025-09-23,59235,19303,15055,4248
2025-09-30,821734,309430,61349,248081
2025-09-30,55168,18323,20499,-2176
2025-10-07,849176,287427,62225,225202
2025-10-07,55760,18662,21669,-3007
2025-10-14,915454,261122,63391,197731
2025-10-14,62503,16739,36255,-19516
2025-10-21,926098,228568,62367,166201
2025-10-21,65719,11244,47419,-36175
2025-10-28,808428,238258,55381,182877
2025-10-28,74533,21626,60017,-38391
2025-11-04,76634,22377,62553,-40176
2025-11-04,792984,229475,50470,179005
2025-11-10,837169,233541,51222,182319
2025-11-10,80944,25891,62897,-37006
2025-11-18,84298,26576,67241,-40665
2025-11-18,846779,234387,53890,180497
2025-11-25,44745,5692,20317,-14625
2025-11-25,669455,239315,47721,191594
2025-12-02,51171,7637,23902,-16265
2025-12-02,664896,246642,42226,204416
2025-12-09,54051,10719,27112,-16393
2025-12-09,683904,252206,43202,209004
2025-12-16,57910,11736,28622,-16886
2025-12-16,761051,264606,45881,218725
2025-12-23,770129,275680,43823,231857
2025-12-23,65236,18515,34609,-16094
2025-12-30,743107,259440,39941,219499
2025-12-30,70034,16471,41874,-25403
2026-01-06,772291,255438,41695,213743
2026-01-06,68746,23103,37612,-14509
2026-01-13,72570,26158,40530,-14372
2026-01-13,844000,270880,40417,230463
2026-01-20,78992,31381,39324,-7943
2026-01-20,871555,265540,41612,223928
2026-01-27,793753,248908,42473,206435
2026-01-27,78433,24626,39337,-14711
2026-02-03,53597,11538,25430,-13892
2026-02-03,732325,205191,44004,161187
2026-02-10,60595,16185,30911,-14726
2026-02-10,726156,200356,44909,155447
2026-02-17,60817,13208,30697,-17489
2026-02-17,723906,202612,48021,154591
2026-02-24,699768,207877,45689,162188
2026-02-24,59932,11781,32859,-21078
2026-03-03,60933,11361,32113,-20752
2026-03-03,699876,208990,49099,159891
2026-03-10,58119,10450,31757,-21307
2026-03-10,709862,210640,44961,165679
2026-03-17,64124,10754,35583,-24829
2026-03-17,681393,211327,47976,163351
2026-03-24,71998,20512,37115,-16603
2026-03-24,692212,207469,46134,161335
2026-03-31,558977,204631,43935,160696
2026-03-31,57293,15492,28583,-13091
2026-04-07,57230,16114,29291,-13177
2026-04-07,550487,202470,48602,153868
2026-04-14,59915,18459,31898,-13439
2026-04-14,565169,208164,47045,161119
2026-04-21,556894,208123,47927,160196
2026-04-21,60480,15479,41399,-25920
2026-04-28,61834,17658,40705,-23047
2026-04-28,521553,204559,51055,153504
2026-05-05,526987,203487,46986,156501
2026-05-05,65309,20165,44707,-24542
